,Type de média,Existence de données d'entraînement variées et structurées ?,Besoin de personnalisation/créativité ?,Tolérance à une difficulté de mise en place?,Fiabilité des résultats?,Quantité de données à traiter ?,Les données sont-elles bruitées ?,Type de contenu ?,Taille / longueur attendu du contenu ?
,"Texte, Image, Audio, Vidéo","Oui, Non","faible, élévée","Oui, Non","faible, élévée","faible, élévé","Oui, Non","Simple, Complexe, Réaliste","Simple, Moyen, Elevé"
Régression Logistique,"0, -inf, -inf, -inf","10, 0","0, -inf","0, 20","0, 0","0, 10","-inf, 0","0, 0, 0","10, 10, 0"
RNN,"0, -inf, -inf, -inf","0, 10","0, -inf","0, 10","0, 10","0, 0","-inf, 0","0, 10, 10","10, 10, 0"
LSTM,"0, -inf, -inf, -inf","0, 0","0, -inf","10, -inf","0, 10","0, 10","10, 0","0, 10, 10","0, 0, 10"
GPT,"0, -inf, 0, -inf","0, 0","0, 10","10, -inf","0, 20","0, 20","10, 0","0, -inf, -inf","10, 10, 0"
GAN,"-inf, 0, 0, -inf","0, 0","10, -inf","20, -inf","0, 10","0, 10","0, 0","10, 10, 0","0, 10, 0"
VAE,"-inf, 0, 0, -inf","0, 10","0, 10","10, -inf","0, 0","0, 0","0, 0","10, 10, 0","0, 0, 0"
Stable Diffusion,"-inf, 0, -inf, -inf","0, 0","0, 10","10, -inf","0, 10","0, 20","10, 0","0, 10, 0","0, 10, 0"
DALL-E,"-inf, 0, -inf, -inf","0, 0","0, 0","20, -inf","0, 20","0, 20","10, 0","0, 0, 20","0, 0, 20"
Midjourney,"-inf, 0, -inf, -inf","0, 0","0, 0","0, 20","0, 20","0, 20","10, 0","0, 0, 20","0, 0, 20"
LSTM Audio,"-inf, -inf, 0, -inf","0, 10","10, 0","20, 0","0, 20","0, 10","10, 0","0, 0, 0","0, 0, 0"
WaveNet,"-inf, -inf, 0, -inf","0, 10","10, 0","20, 0","0, 20","0, 20","20, 0","10, 0, 0","10, 0, 0"
IA vocale générative,"-inf, -inf, 0, -inf","0, 0","0, 20","10, 0","0, 10","0, 10","0, 0","20, -inf, -inf","0, 0, 0"
IA de restauration vocale,"-inf, -inf, 0, -inf","10, 0","10, 0","10, 0","0, 10","0, 10","20, 0","20, -inf, -inf","0, 0, 0"
k-NN Vidéo,"-inf, -inf, -inf, 0","0, 0","10, 0","0, 10","10, 0","0, -inf","-inf, 0","10, 0, 0","10, 10, 0"
GAN Vidéo,"-inf, -inf, -inf, 0","0, 0","10, 0","20, 0","0, 10","0, 10","10, 0","0, 10, 10","10, 10, 0"
NeRF,"-inf, -inf, -inf, 0","0, 0","0, 20","20, 0","0, 10","0, -inf","-inf, 0","10, 0, 0","10, 10, 0"
Style Transfer,"-inf, -inf, -inf, 0","0, 0","0, 10","10, 0","0, 10","0, 20","10, 0","10, 0, 0","10, 10, 0"