,Quelle est la taille de votre base de données d'entraînement ?,Apprennent à mesure qu'on les alimente ? ,Interpretabilité des résultats,Rapidité d'entraînement,Avez-vous réalisé une analyse des données ?,Haute dimensionnalité des données ?,Existe-t-il des relations linéaires entre les données ?,Données visuelles,Données Tabulaires,Le modèle doit-il être robuste aux données bruitées ?,Les classes sont-elles déséquilibrées ?,Estimez-vous que vos données sont suffisamment variées et à nombre suffisemment grand pour éviter l'overfitting ?
,"Élevée, Faible","Oui, Non","Oui, Non","Rapide, Peut être lent","Oui, Non","Complexes, Simples","Oui, Non","Oui, Non","Oui, Non","Oui, Non","Oui, Non","Oui, Non"
Arbres de Décision (Simple),"0, 0","-inf, 0","20, 0","20, 0","0, 0","0, 0","-inf, 20","-inf, 0","10, 0","10, 0","10, 0","0, -inf"
CART (Simple),"0, 0","-inf, 0","20, 0","20, 0","0, 0","0, 0","-inf, 20","-inf, 0","10, 0","10, 0","10, 0","0, -inf"
Random Forest (Intermédiaire),"10, 0","-inf, 0","10, 0","10, 0","0, 0","0, 0","-inf, 20","-inf, 0","10, 0","20, 0","20, 0","0, 0"
Logistic Model Trees (LMT) (Intermédiaire),"10, 0","-inf, 0","20, 0","0, 0","0, 0","0, 0","0, 0","-inf, 0","10, 0","-inf, 0","0, 0","0, 0"
Gradient Boosting Machines (Intermédiaire),"10, 0","-inf, 0","-inf, 0","-inf, 0","0, 0","-inf, 0","-inf, 20","-inf, 0","10, 0","10, 0","10, 0","0, 0"
AdaBoost (Intermédiaire),"10, 0","-inf, 0","-inf, 0","10, 0","0, 0","-inf, 0","-inf, 10","-inf, 0","10, 0","10, 0","10, 0","0, 0"
Hist Gradient Boosting (Intermédiaire),"10, 0","-inf, 0","-inf, 0","-inf, 0","0, 0","-inf, 0","-inf, 20","-inf, 0","10, 0","10, 0","10, 0","0, 0"
CutBoost (Intermédiaire),"10, 0","-inf, 0","-inf, 0","-inf, 0","0, 0","-inf, 0","-inf, 20","-inf, 0","10, 0","10, 0","10, 0","0, 0"
XGBoost (Intermédiaire),"10, 0","-inf, 0","-inf, 0","10, 0","0, 0","20, 0","0, 20","-inf, 0","10, 0","20, 0","20, 0","0, 0"
LightGBM (Intermédiaire),"10, 0","-inf, 0","-inf, 0","20, 0","0, 0","20, 0","0, 20","-inf, 0","10, 0","20, 0","20, 0","0, 0"
CatGBM (Intermédiaire),"10, 0","-inf, 0","-inf, 0","10, 0","0, 0","20, 0","0, 20","-inf, 0","10, 0","20, 0","20, 0","0, 0"
Logistic Regression (Simple),"20, 0","-inf, 0","20, 0","20, 0","0, 0","20, 0","0, 0","-inf, 0","0, 0","-inf, 0","0, 0","0, 10"
Perceptron (Simple),"0, -inf","20, 0","-inf, 0","20, 0","0, 0","-inf, 0","0, 0","-inf, 0","0, 0","-inf, 0","0, 0","0, -inf"
Quadratic Discriminant Analysis (Simple),"0, 0","-inf, 0","10, 0","0, 0","0, 0","-inf, 0","0, 0","-inf, 0","0, 0","-inf, 0","0, 0","0, -inf"
Linear Discriminant Analysis (LDA) (Simple),"20, 0","-inf, 0","10, 0","0, 0","0, 0","-inf, 0","0, 0","-inf, 0","0, 0","-inf, 0","0, 0","0, 10"
Multilayer Perceptron (MLP) (Complexe),"0, -inf","20, 0","-inf, 0","-inf, 0","0, 0","-inf, 0","-inf, 20","0, 0","-inf, -inf","10, 0","10, 0","0, -inf"
Radial Basis Function (RBF) Networks (Complexe),"0, -inf","20, 0","-inf, 0","-inf, 0","0, 0","-inf, 0","-inf, 20","0, 0","-inf, -inf","10, 0","10, 0","0, -inf"
Probabilistic Neural Networks (PNN),"0, -inf","20, 0","-inf, 0","-inf, 0","0, 0","-inf, 0","-inf, 20","0, 0","-inf, -inf","20, 0","10, 0","0, -inf"
Réseaux de Neurones Convolutifs (Complexe),"0, -inf","20, 0","-inf, 0","-inf, 0","0, 0","-inf, 0","-inf, 20","0, 0","-inf, -inf","10, 0","10, 0","0, -inf"
Naives Bayes (Simple),"20, 0","-inf, 0","10, 0","20, 0","0, 0","20, 0","-inf, 10","-inf, 0","0, 0","20, 0","20, 0","0, 10"
Bayesian Networks (Intermédiaire),"0, 0","-inf, 0","10, 0","-inf, 0","0, 0","-inf, 0","-inf, 10","-inf, 0","0, 0","10, 0","10, 0","0, -inf"
k-Nearest Neighbors (Simple),"0, 0","-inf, 0","0, 0","0, 0","0, 0","10, 0","-inf, 20","0, 0","-inf, -inf","0, 0","0, 0","0, -inf"
Nearest Centroid Classifier (Simple),"20, 0","-inf, 0","10, 0","20, 0","0, 0","20, 0","-inf, 20","-inf, 0","0, 0","20, 0","20, 0","0, 10"
Support Vector Machines (SVM) (Intermédiaire),"0, -inf","-inf, 0","-inf, 0","10, 0","0, 0","10, 0","0, 0","0, 0","-inf, -inf","-inf, 0","10, 0","0, -inf"
Stacking (Intermédiaire),"10, 0","-inf, 0","-inf, 0","-inf, 0","0, 0","-inf, 0","-inf, 10","-inf, 0","10, 0","10, 0","10, 0","0, 0"
Bagging (Intermédiaire),"10, 0","-inf, 0","-inf, 0","10, 0","0, 0","20, 0","-inf, 10","-inf, 0","10, 0","20, 0","20, 0","0, 0"
Fisher's Linear Discriminant (Simple),"20, 0","-inf, 0","20, 0","0, 0","0, 0","-inf, 0","0, 0","-inf, 0","0, 0","-inf, 0","0, 0","0, 10"
Extreme Learning Machines (ELM) (Intermédiaire),"0, -inf","20, 0","-inf, 0","10, 0","0, 0","-inf, 0","-inf, 20","0, 0","-inf, -inf","10, 0","10, 0","0, -inf"
Passive-Aggressive Classifiers (Intermédiaire),"0, -inf","20, 0","0, 0","20, 0","0, 0","0, 0","-inf, 10","-inf, 0","0, 0","10, 0","10, 0","0, -inf"